,Nombre,Foto,Rol,Link
0,Joaquín  Pérez,https://uploads-ssl.webflow.com/60782404b8e195845053206a/60d5a4b6f248fc05ae0a6040_Joaqui%CC%81n.jpg,Lead Instructor,https://www.linkedin.com/in/jpereznavarrete/
1,Víctor Bandín,https://uploads-ssl.webflow.com/60782404b8e195845053206a/60d5a5b020b4c54b83a9f207_Marketing.jpg,Lead Instructor,https://www.linkedin.com/in/victorbandin/
2,David Planelles,https://uploads-ssl.webflow.com/60782404b8e195845053206a/61eaaeeb9690f64dfbf87675_DavidPlanelles%20(1).jpg,Lead Instructor,https://www.linkedin.com/in/dplanelles/
3,Joaquín  Pérez,https://uploads-ssl.webflow.com/60782404b8e195845053206a/60d5a4b6f248fc05ae0a6040_Joaqui%CC%81n.jpg,Lead Instructor,https://www.linkedin.com/in/jpereznavarrete/
4,Víctor Bandín,https://uploads-ssl.webflow.com/60782404b8e195845053206a/60d5a5b020b4c54b83a9f207_Marketing.jpg,Lead Instructor,https://www.linkedin.com/in/victorbandin/
5,David Planelles,https://uploads-ssl.webflow.com/60782404b8e195845053206a/61eaaeeb9690f64dfbf87675_DavidPlanelles%20(1).jpg,Lead Instructor,https://www.linkedin.com/in/dplanelles/
